DeviceId,Time,x,y,z
test10,12/5/2019 11:28:00 AM,352.6,78.36,358.47
test10,12/5/2019 11:28:03 AM,354.73,78.17,358.89
test10,12/5/2019 11:28:05 AM,354.57,78.25,358.87
test10,12/5/2019 11:28:07 AM,355.89,77.86,359.11
test10,12/5/2019 11:28:09 AM,356.78,78.66,359.35
test10,12/5/2019 11:28:11 AM,357.45,78.16,359.46
test10,12/5/2019 11:28:13 AM,348.73,72.43,356.39
test10,12/5/2019 11:28:15 AM,341.84,70.07,353.22
test10,12/5/2019 11:28:18 AM,344.13,69.68,353.99
test10,12/5/2019 11:28:20 AM,346.03,69.61,354.71
test10,12/5/2019 11:28:22 AM,341.17,70.66,353.18
test10,12/5/2019 11:28:25 AM,341.64,71.04,353.5
test10,12/5/2019 11:28:27 AM,337.43,71.63,352.14
test10,12/5/2019 11:28:29 AM,340.1,71.13,352.95
test10,12/5/2019 11:28:31 AM,344.63,69.77,354.22
test10,12/5/2019 11:28:34 AM,348.95,66.69,355.19
test10,12/5/2019 11:28:36 AM,348.77,66.84,355.15
test10,12/5/2019 11:28:38 AM,348.67,66.85,355.11
test10,12/5/2019 11:28:40 AM,346.9,66.59,354.25
test10,12/5/2019 11:28:42 AM,349.51,65.71,355.22
test10,12/5/2019 11:28:45 AM,342.73,68.28,352.94
test10,12/5/2019 11:28:47 AM,334.85,70.34,350.48
test10,12/5/2019 11:28:49 AM,339.19,68.74,351.59
test10,12/5/2019 11:28:51 AM,336.29,70.04,350.94
test10,12/5/2019 11:28:54 AM,344.57,67.48,353.47
test10,12/5/2019 11:28:56 AM,348.31,67.23,355.04
test10,12/5/2019 11:28:58 AM,346.5,66.71,354.1
test10,12/5/2019 11:29:00 AM,343.63,67.27,352.98
test10,12/5/2019 11:29:02 AM,344.44,68.1,353.61
test10,12/5/2019 11:29:04 AM,346.07,67.23,354.06
test10,12/5/2019 11:29:07 AM,346.51,66.05,353.92
test10,12/5/2019 11:29:09 AM,349.43,65.71,355.19
test10,12/5/2019 11:29:11 AM,348.45,67.03,355.05
test10,12/5/2019 11:29:13 AM,349.49,66.05,355.29
test10,12/5/2019 11:29:16 AM,349.57,65.71,355.25
test10,12/5/2019 11:29:18 AM,348.42,65.58,354.69
test10,12/5/2019 11:29:20 AM,348.68,65.81,354.86
test10,12/5/2019 11:29:22 AM,345.59,67.26,353.85
test10,12/5/2019 11:29:24 AM,342.57,67.02,352.42
test10,12/5/2019 11:29:26 AM,346.32,65.37,353.63
test10,12/5/2019 11:29:29 AM,345.9,66.4,353.74
test10,12/5/2019 11:29:31 AM,344.79,66.25,353.18
test10,12/5/2019 11:29:33 AM,344.97,66.82,353.44
test10,12/5/2019 11:29:35 AM,344.46,66.61,353.14
test10,12/5/2019 11:29:37 AM,342.25,67.85,352.57
test10,12/5/2019 11:29:39 AM,344.82,66.16,353.16
test10,12/5/2019 11:29:41 AM,340.51,68.12,351.91
test10,12/5/2019 11:29:44 AM,342.26,67.72,352.53
test10,12/5/2019 11:29:46 AM,339.7,68.27,351.61
test10,12/5/2019 11:29:48 AM,342.26,68.21,352.71
test10,12/5/2019 11:29:50 AM,341.81,68.24,352.53
test10,12/5/2019 11:29:52 AM,341.43,67.87,352.22
test10,12/5/2019 11:29:54 AM,340.98,68.28,352.18
test10,12/5/2019 11:29:56 AM,341.46,68.78,352.58
test10,12/5/2019 11:29:59 AM,341.93,67.93,352.47
test10,12/5/2019 11:30:01 AM,342.07,68.09,352.59
test10,12/5/2019 11:30:03 AM,341.37,68.55,352.45
test10,12/5/2019 11:30:06 AM,341.38,68.21,352.33
test10,12/5/2019 11:30:08 AM,353,63.91,356.56
test10,12/5/2019 11:30:11 AM,352.79,64.44,356.54
test10,12/5/2019 11:30:13 AM,353.51,63.97,356.82
test10,12/5/2019 11:30:15 AM,352.3,64.36,356.29
test10,12/5/2019 11:30:18 AM,351.06,65.36,355.87
test10,12/5/2019 11:30:20 AM,332.16,71.48,349.97
test10,12/5/2019 11:30:22 AM,337.12,68.81,350.71
test10,12/5/2019 11:30:24 AM,338.83,68.26,351.22
test10,12/5/2019 11:30:26 AM,340.24,68.24,351.84
test10,12/5/2019 11:30:29 AM,351.14,66.98,356.21
test10,12/5/2019 11:30:31 AM,356.44,65.52,358.38
test10,12/5/2019 11:30:33 AM,17.43,65.77,8.04
test10,12/5/2019 11:30:35 AM,23.15,69.42,9.12
test10,12/5/2019 11:30:37 AM,19.4,68.36,7.95
test10,12/5/2019 11:30:40 AM,26.04,70.1,10.03
test10,12/5/2019 11:30:42 AM,24.31,68.91,9.88
test10,12/5/2019 11:30:44 AM,23.64,67.08,10.49
test10,12/5/2019 11:30:46 AM,23.83,70.31,8.98
test10,12/5/2019 11:30:49 AM,8.98,70.15,3.27
test10,12/5/2019 11:30:51 AM,41.41,78.94,9.79
test10,12/5/2019 11:30:53 AM,26.87,53.27,20.71
test10,12/5/2019 11:30:55 AM,24.07,55.84,16.86
test10,12/5/2019 11:30:57 AM,30.03,56.03,21.28
test10,12/5/2019 11:31:00 AM,32.67,61.27,19.37
test10,12/5/2019 11:31:02 AM,21.72,50.43,18.23
test10,12/5/2019 11:31:04 AM,36.21,63.69,19.9
test10,12/5/2019 11:31:06 AM,34.16,62.68,19.32
test10,12/5/2019 11:31:09 AM,34.15,62.26,19.63
test10,12/5/2019 11:31:11 AM,34.21,62.96,19.14
test10,12/5/2019 11:31:13 AM,31.6,62.06,18.08
